iter	Passed	Remaining
625	24345	14544
626	24377	14501
627	24413	14461
628	24451	14422
629	24480	14377
630	24514	14335
631	24545	14292
632	24576	14249
633	24609	14206
634	24651	14169
635	24679	14124
636	24707	14079
637	24736	14035
638	24767	13992
639	24799	13949
640	24827	13904
641	24867	13866
642	24903	13826
643	24932	13782
644	24962	13739
645	24997	13698
646	25033	13658
647	25082	13625
648	25116	13583
649	25153	13544
650	25180	13499
651	25209	13455
652	25239	13412
653	25271	13370
654	25305	13328
655	25355	13295
656	25389	13255
657	25423	13214
658	25457	13173
659	25491	13131
660	25529	13093
661	25568	13054
662	25597	13011
663	25626	12967
664	25655	12924
665	25695	12886
666	25726	12843
667	25796	12821
668	25839	12784
669	25870	12742
670	25911	12704
671	25947	12664
672	25994	12630
673	26033	12591
674	26079	12556
675	26114	12516
676	26149	12476
677	26183	12435
678	26217	12394
679	26250	12353
680	26291	12315
681	26325	12275
682	26355	12232
683	26384	12189
684	26413	12146
685	26445	12104
686	26478	12063
687	26530	12031
688	26562	11989
689	26594	11948
690	26630	11908
691	26659	11865
692	26687	11822
693	26728	11784
694	26760	11743
695	26794	11703
696	26827	11662
697	26861	11621
698	26898	11582
699	26940	11545
700	26975	11505
701	27004	11463
702	27033	11421
703	27063	11378
704	27090	11335
705	27121	11294
706	27149	11251
707	27189	11213
708	27222	11173
709	27255	11132
710	27287	11091
711	27322	11051
712	27356	11011
713	27384	10969
714	27419	10929
715	27459	10891
716	27495	10852
717	27534	10814
718	27564	10772
719	27597	10732
720	27629	10691
721	27671	10654
722	27701	10613
723	27736	10573
724	27768	10532
725	27795	10490
726	27824	10448
727	27858	10408
728	27901	10372
729	27930	10330
730	27960	10289
731	27989	10247
732	28017	10205
733	28053	10166
734	28100	10131
735	28140	10094
736	28181	10056
737	28210	10014
738	28239	9973
739	28271	9933
740	28299	9891
741	28337	9853
742	28370	9813
743	28402	9772
744	28428	9730
745	28457	9689
746	28488	9648
747	28527	9610
748	28568	9573
749	28600	9533
750	28627	9491
751	28657	9450
752	28686	9409
753	28717	9369
754	28746	9328
755	28784	9290
756	28827	9253
757	28859	9213
758	28900	9176
759	28933	9137
760	28963	9096
761	29005	9059
762	29036	9019
763	29064	8978
764	29095	8937
765	29123	8896
766	29156	8857
767	29186	8816
768	29223	8778
769	29255	8738
770	29289	8699
771	29322	8659
772	29353	8620
773	29382	8579
774	29416	8540
775	29452	8501
776	29484	8462
777	29516	8422
778	29544	8381
779	29575	8341
780	29602	8300
781	29633	8260
782	29669	8222
783	29706	8184
784	29735	8144
785	29765	8104
786	29797	8064
787	29825	8024
788	29865	7986
789	29898	7947
790	29933	7909
791	29964	7869
792	29991	7828
793	30020	7788
794	30049	7748
795	30078	7708
796	30124	7672
797	30154	7633
798	30182	7592
799	30206	7551
800	30238	7512
801	30270	7473
802	30297	7432
803	30336	7395
804	30364	7355
805	30391	7315
806	30418	7274
807	30447	7235
808	30473	7194
809	30503	7155
810	30543	7118
811	30571	7078
812	30597	7037
813	30624	6997
814	30652	6957
815	30680	6918
816	30708	6878
817	30734	6838
818	30765	6799
819	30801	6761
820	30828	6721
821	30858	6682
822	30890	6643
823	30916	6603
824	30947	6564
825	30975	6525
826	31022	6489
827	31053	6450
828	31081	6411
829	31110	6371
830	31136	6332
831	31163	6292
832	31191	6253
833	31229	6215
834	31258	6176
835	31293	6138
836	31322	6099
837	31351	6060
838	31378	6021
839	31408	5982
840	31446	5945
841	31475	5906
842	31505	5867
843	31536	5828
844	31561	5789
845	31588	5750
846	31618	5711
847	31659	5674
848	31692	5636
849	31723	5598
850	31750	5559
851	31781	5520
852	31808	5481
853	31843	5443
854	31882	5407
855	31913	5368
856	31942	5329
857	31972	5291
858	31999	5252
859	32031	5214
860	32057	5175
861	32092	5137
862	32129	5100
863	32157	5061
864	32186	5023
865	32213	4984
866	32243	4946
867	32277	4908
868	32321	4872
869	32356	4834
870	32386	4796
871	32415	4758
872	32444	4719
873	32473	4681
874	32509	4644
875	32553	4608
876	32587	4570
877	32613	4531
878	32645	4493
879	32672	4455
880	32700	4417
881	32729	4378
882	32767	4341
883	32794	4303
884	32821	4264
885	32851	4226
886	32878	4188
887	32916	4151
888	32943	4113
